_unit_id;_created_at;_id;_started_at;_tainted;_channel;_trust;_worker_id;_country;_region;_city;_ip;age;aggressive2;aggressive3;aggressive4;aggressive5;aggressive6;aggressive7;aggressive8;arrogant2;arrogant3;arrogant4;arrogant5;arrogant6;arrogant7;arrogant8;assertive2;assertive3;assertive4;assertive5;assertive6;assertive7;assertive8;blond2;blond3;blond4;blond5;blond6;blond7;blond8;cheerful2;cheerful3;cheerful4;cheerful5;cheerful6;cheerful7;cheerful8;compete2;compete3;compete4;compete5;compete6;compete7;compete8;cooperative2;cooperative3;cooperative4;cooperative5;cooperative6;cooperative7;cooperative8;defiant2;defiant3;defiant4;defiant5;defiant6;defiant7;defiant8;depend2;depend3;depend4;depend5;depend6;depend7;depend8;distant2;distant3;distant4;distant5;distant6;distant7;distant8;dominant2;dominant3;dominant4;dominant5;dominant6;dominant7;dominant8;education;forceful2;forceful3;forceful4;forceful5;forceful6;forceful7;forceful8;friendly2;friendly3;friendly4;friendly5;friendly6;friendly7;friendly8;gender;helpful2;helpful3;helpful4;helpful5;helpful6;helpful7;helpful8;hostile2;hostile3;hostile4;hostile5;hostile6;hostile7;hostile8;language;leaderlike2;leaderlike3;leaderlike4;leaderlike5;leaderlike6;leaderlike7;leaderlike8;nationality;natural2;natural3;natural4;natural5;natural6;natural7;natural8;show_extra1;submissive2;submissive3;submissive4;submissive5;submissive6;submissive7;submissive8;timid2;timid3;timid4;timid5;timid6;timid7;timid8;unauthoritative2;unauthoritative3;unauthoritative4;unauthoritative5;unauthoritative6;unauthoritative7;unauthoritative8;warm2;warm3;warm4;warm5;warm6;warm7;warm8;withdrawn2;withdrawn3;withdrawn4;withdrawn5;withdrawn6;withdrawn7;withdrawn8
1289371409;07/06/2017 13:25;2681589573;07/06/2017 13:10;false;elite;1.0;39377681;DEU;7;Dortmund;93.195.181.50;51-60;4;4;2;4;4;5;5;3;4;2;4;4;5;5;4;4;2;4;4;5;5;3;3;3;3;3;3;3;3;2;3;2;2;1;1;4;5;2;4;4;5;5;3;2;4;2;2;2;4;4;4;2;4;4;5;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;5;2;4;2;5;5;High school;5;5;2;4;4;5;5;3;1;3;3;2;2;1;Female;3;3;3;2;2;1;1;4;4;2;4;4;5;1;No;4;4;2;4;4;1;5;german;2;2;4;2;2;1;1;I have read and agree the conditions above.;2;1;2;2;2;2;1;2;1;3;2;2;1;2;3;2;4;2;2;1;2;2;1;4;2;2;1;1;2;2;4;2;2;2;2
1289371409;07/06/2017 13:55;2681640190;07/06/2017 13:42;false;prodege;1.0;19496425;CAN;ON;Scarborough;209.141.161.77;21-30;4;4;4;4;5;4;4;4;4;4;3;5;4;5;4;5;4;3;5;5;5;2;1;2;2;1;2;2;2;1;2;2;1;1;1;4;5;4;4;5;4;5;2;2;2;2;2;2;1;3;4;4;4;5;4;4;3;2;2;2;5;4;4;4;5;4;4;5;4;5;4;5;4;4;5;4;5;Undergraduate level;4;5;4;4;5;4;4;2;1;2;2;1;1;1;Female;3;2;2;3;2;2;1;4;5;4;4;5;4;4;Yes;4;2;3;3;2;1;2;Chinese;2;3;3;2;1;2;2;I have read and agree the conditions above.;2;1;2;2;1;1;1;2;2;3;2;1;2;1;4;5;4;4;4;4;4;2;1;2;2;1;1;1;4;4;3;2;1;2;2
1294143178;07/06/2017 14:04;2681655247;07/06/2017 13:54;false;clixsense;1.0;22768882;ESP;29;Madrid;159.147.47.149;21-30;3;4;3;3;3;4;4;3;3;3;3;3;3;3;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;3;3;3;3;High school;3;4;4;3;3;3;4;3;2;3;3;3;3;3;Male;2;2;3;3;3;2;3;3;4;3;3;4;3;4;No;3;4;3;3;3;3;3;Spanish;2;2;1;2;2;3;3;I have read and agree the conditions above.;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
1294143178;07/06/2017 14:06;2681658673;07/06/2017 13:57;false;elite;1.0;39377681;DEU;7;Dortmund;93.195.181.50;51-60;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;4;4;3;3;3;3;3;4;4;4;4;4;4;4;2;2;2;2;2;2;2;4;4;4;3;4;4;4;4;4;3;3;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;4;High school;4;4;4;4;4;3;4;2;2;2;2;2;2;2;Female;2;2;2;2;2;2;2;3;3;4;3;3;3;3;No;4;2;2;2;4;4;4;german;2;2;2;2;2;2;2;I have read and agree the conditions above.;3;2;3;3;3;3;4;3;3;3;3;3;4;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3
1294168553;07/06/2017 15:24;2681795791;07/06/2017 15:08;false;clixsense;1.0;35185245;ESP;52;Zaragoza;148.3.93.197;31-40;4;4;4;3;4;4;4;3;4;3;3;3;3;4;3;2;4;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;3;3;3;3;3;4;3;3;3;3;2;2;2;4;4;3;3;4;4;4;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;4;3;4;3;4;Master leve;4;3;3;3;3;4;4;3;2;4;3;2;2;2;Male;3;3;3;3;2;2;2;3;3;3;3;4;4;4;No;4;3;4;3;4;3;4;Islandic;2;4;3;2;2;2;4;I have read and agree the conditions above.;3;2;3;3;2;3;2;3;2;2;3;2;2;2;3;3;3;3;4;3;4;3;2;3;3;2;2;2;3;3;3;3;3;3;3
1294168553;07/06/2017 15:31;2681808428;07/06/2017 15:08;false;elite;1.0;30312592;CAN;ON;Sudbury;24.231.87.233;31-40;1;4;3;2;4;5;5;5;4;3;2;4;5;5;4;3;3;3;4;4;5;2;3;3;3;2;3;3;1;2;3;4;1;1;2;4;3;3;3;5;4;4;1;2;3;4;2;1;2;4;4;3;3;4;5;4;3;3;3;3;3;3;3;4;3;3;3;4;4;5;4;3;3;3;5;5;4;Undergraduate level;4;4;3;3;5;5;5;1;2;3;4;1;1;1;Male;3;3;3;3;2;2;3;5;5;3;2;4;5;5;Yes;2;3;3;4;2;2;3;Canadian;2;4;3;3;3;3;2;I have read and agree the conditions above.;2;2;3;3;2;2;1;1;2;2;3;2;1;2;1;2;3;2;2;1;1;1;2;3;4;1;1;1;4;4;3;3;3;4;4
1294173942;07/06/2017 15:38;2681820555;07/06/2017 15:25;false;prodege;1.0;31582541;CAN;ON;Scarborough;199.7.157.74;31-40;5;5;4;2;5;5;5;5;5;3;3;5;5;5;5;5;4;5;5;5;5;3;3;3;3;3;3;3;2;2;2;5;2;2;2;5;5;4;5;5;5;5;3;3;3;5;1;3;2;5;5;3;2;5;2;5;2;2;2;2;2;2;2;5;5;4;3;5;5;5;5;5;4;5;5;5;5;Undergraduate level;5;5;4;2;5;5;5;2;2;3;5;1;2;2;Female;2;3;3;5;3;2;1;5;5;4;2;5;5;5;Yes;5;5;4;5;5;5;5;Candian;1;1;2;5;1;1;1;I have read and agree the conditions above.;1;2;2;4;2;2;2;2;2;2;5;2;2;1;2;2;3;1;1;2;2;2;2;2;5;2;2;2;5;5;4;2;5;5;5
1294173942;07/06/2017 16:40;2681954512;07/06/2017 16:28;false;coinworker;1.0;39203395;DEU;2;Unterhaching;91.63.232.5;51-60;3;3;3;3;4;3;3;3;4;4;3;4;3;3;3;3;3;4;3;2;3;3;3;3;3;3;3;3;3;2;3;4;3;3;2;3;4;4;4;4;3;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;2;3;3;3;3;4;4;3;4;3;3;Master leve;3;3;3;4;4;3;3;3;3;3;3;3;3;2;Female;3;3;3;4;2;2;2;3;4;3;3;3;3;4;No;3;4;3;4;4;3;3;german;1;2;2;3;1;1;2;I have read and agree the conditions above.;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3
1294178462;07/06/2017 15:55;2681863662;07/06/2017 15:46;false;clixsense;1.0;39611530;ESP;29;Madrid;83.48.48.17;31-40;3;4;4;2;4;4;4;3;4;4;2;4;4;4;4;4;4;3;4;4;3;3;3;3;3;3;3;3;4;2;2;4;2;2;2;4;4;4;3;4;4;4;3;2;2;4;2;2;2;4;4;4;3;4;4;4;2;2;2;3;4;3;3;3;2;4;3;3;4;4;3;4;4;3;4;4;4;Doctorate level;4;4;4;3;4;4;4;3;4;2;4;3;2;2;Female;4;3;2;4;3;2;3;3;4;4;3;4;4;4;No;4;4;4;3;4;4;4;Spanish;4;2;2;4;2;2;2;I have read and agree the conditions above.;3;2;2;3;2;2;2;2;2;2;3;2;3;2;2;3;2;3;3;4;4;3;2;2;4;2;2;2;3;2;4;3;3;2;3
1294178462;07/06/2017 16:04;2681884175;07/06/2017 15:45;false;clixsense;1.0;42203036;ESP;56;Sabadell;83.40.148.137;41-50;3;4;4;4;4;4;4;3;4;4;2;4;4;4;2;2;2;2;2;4;4;3;3;3;3;3;3;3;3;4;2;3;4;2;2;2;4;4;4;4;4;4;2;3;3;3;3;4;2;3;4;4;4;4;4;4;3;2;3;3;3;3;3;2;2;3;2;4;4;4;3;4;4;4;4;4;4;Master leve;2;4;4;4;4;4;4;2;4;4;4;2;2;2;Female;3;4;4;4;2;4;3;3;4;4;2;4;4;4;No;2;4;4;4;4;4;4;EspaÇñola;4;4;4;4;2;2;2;I have read and agree the conditions above.;4;2;2;2;2;2;2;4;2;2;2;2;2;2;3;3;3;3;3;4;2;4;4;2;4;2;2;2;4;3;4;2;4;3;4
