_unit_id;_created_at;_id;_started_at;_tainted;_channel;_trust;_worker_id;_country;_region;_city;_ip;age;aggressive1;aggressive2;aggressive3;aggressive4;aggressive5;aggressive6;aggressive7;arrogant1;arrogant2;arrogant3;arrogant4;arrogant5;arrogant6;arrogant7;assertive1;assertive2;assertive3;assertive4;assertive5;assertive6;assertive7;blond1;blond2;blond3;blond4;blond5;blond6;blond7;cheerful1;cheerful2;cheerful3;cheerful4;cheerful5;cheerful6;cheerful7;compete1;compete2;compete3;compete4;compete5;compete6;compete7;cooperative1;cooperative2;cooperative3;cooperative4;cooperative5;cooperative6;cooperative7;defiant1;defiant2;defiant3;defiant4;defiant5;defiant6;defiant7;depend1;depend2;depend3;depend4;depend5;depend6;depend7;distant1;distant2;distant3;distant4;distant5;distant6;distant7;dominant1;dominant2;dominant3;dominant4;dominant5;dominant6;dominant7;education;forceful1;forceful2;forceful3;forceful4;forceful5;forceful6;forceful7;friendly1;friendly2;friendly3;friendly4;friendly5;friendly6;friendly7;gender;helpful1;helpful2;helpful3;helpful4;helpful5;helpful6;helpful7;hostile1;hostile2;hostile3;hostile4;hostile5;hostile6;hostile7;language;leaderlike1;leaderlike2;leaderlike3;leaderlike4;leaderlike5;leaderlike6;leaderlike7;nationality;natural1;natural2;natural3;natural4;natural5;natural6;natural7;show_extra1;submissive1;submissive2;submissive3;submissive4;submissive5;submissive6;submissive7;timid1;timid2;timid3;timid4;timid5;timid6;timid7;unauthoritative1;unauthoritative2;unauthoritative3;unauthoritative4;unauthoritative5;unauthoritative6;unauthoritative7;warm1;warm2;warm3;warm4;warm5;warm6;warm7;withdrawn1;withdrawn2;withdrawn3;withdrawn4;withdrawn5;withdrawn6;withdrawn7
1302836307;7/13/2017 16:42:00;2698400789;7/13/2017 16:31:23;false;clixsense;1.0;35185245;ESP;52;Zaragoza;148.56.207.100;31-40;4;2;2;1;3;1;2;3;2;2;1;3;1;1;4;2;4;3;4;4;3;5;5;5;5;5;5;5;2;2;3;4;2;4;4;4;3;3;2;4;3;2;3;3;4;3;2;4;3;3;2;2;2;4;1;1;2;3;2;2;3;3;3;3;4;3;4;4;2;2;3;3;3;2;4;2;2;Master leve;3;2;2;2;3;2;3;3;2;3;4;2;4;4;Male;2;2;3;3;2;4;4;2;2;2;2;3;1;1;No;4;4;3;3;4;3;3;Islandic;3;3;2;4;3;4;3;I have read and agree the conditions above.;3;3;2;2;2;3;2;2;4;2;3;3;3;3;2;3;3;3;1;3;3;2;2;3;4;2;4;4;3;3;3;3;3;3;3
1302836307;7/13/2017 16:46:14;2698413255;7/13/2017 16:31:43;false;neodev;1.0;19957471;NLD;5;Maastricht;77.167.113.190;61;1;4;3;1;4;3;3;3;4;3;1;4;3;4;3;3;3;3;4;4;4;3;3;3;3;3;3;3;2;1;3;3;1;2;3;2;3;4;3;5;4;5;4;2;3;5;2;3;3;3;3;3;3;3;3;4;3;2;3;3;3;3;3;3;4;4;2;4;4;4;4;4;3;3;5;2;5;Undergraduate level;3;2;2;2;5;3;4;4;2;3;5;1;3;4;Female;4;3;4;4;3;4;4;3;2;2;4;2;2;2;No;2;1;3;3;4;3;4;Netherlands;4;2;1;1;1;1;1;I have read and agree the conditions above.;3;2;3;4;3;2;3;2;3;2;3;1;2;1;2;3;3;4;3;3;3;2;2;2;4;1;2;1;3;3;3;4;2;3;3
1303366380;7/14/2017 10:34:22;2700763929;7/14/2017 10:21:53;false;bitcoinget;1.0;43608305;GBR;H9;London;46.101.79.230;21-30;5;5;3;4;4;3;5;5;3;4;3;5;4;3;5;2;2;5;4;4;5;5;3;3;4;4;4;5;5;3;2;4;4;4;5;5;2;5;5;3;5;4;5;5;5;5;5;3;5;5;5;5;4;4;4;5;5;5;4;4;4;5;3;5;4;4;3;3;5;5;5;4;4;5;5;3;5;High school;5;4;4;3;4;4;5;5;5;3;4;3;5;5;Male;5;3;2;5;3;5;5;5;4;3;5;5;3;5;Yes;5;3;3;4;5;3;5;United States of America;5;4;4;4;4;5;5;I have read and agree the conditions above.;5;5;4;4;5;4;2;5;4;5;5;5;3;5;5;4;4;3;4;4;5;5;3;4;3;4;4;5;5;3;3;4;4;4;5
1303366380;7/14/2017 11:05:05;2700818732;7/14/2017 10:55:25;false;neodev;1.0;19957471;NLD;5;Maastricht;77.167.113.190;61;3;1;4;1;4;3;1;4;3;4;1;4;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;2;3;2;4;2;3;4;4;2;5;2;5;4;2;3;2;3;4;3;3;4;3;3;3;3;3;4;4;3;2;3;4;3;3;3;3;4;4;3;4;3;2;4;3;5;1;5;4;4;Undergraduate level;4;2;5;2;5;4;3;2;3;2;5;2;3;4;Female;3;4;3;4;3;4;4;3;3;3;4;2;3;3;No;4;2;3;3;3;3;3;Netherlands;1;1;1;1;1;1;1;I have read and agree the conditions above.;2;3;2;4;3;3;3;2;3;2;3;1;2;3;2;2;3;3;3;2;3;2;2;2;4;2;2;4;3;3;2;4;3;3;4
1303367994;7/14/2017 10:42:33;2700780063;7/14/2017 10:31:29;false;neodev;1.0;32057960;FRA;A2;Iffendic;78.200.134.61;31-40;1;2;1;1;4;2;1;2;2;1;1;2;2;1;3;3;3;3;3;3;3;5;5;5;5;5;5;5;3;3;3;3;3;2;4;3;3;3;3;4;2;3;3;3;3;3;3;3;3;3;2;1;1;4;2;1;3;3;3;3;3;3;3;3;3;1;3;2;4;1;1;2;3;1;4;2;3;High school;3;3;3;3;3;3;3;4;4;4;2;2;4;4;Female;4;4;3;3;3;4;3;1;1;1;1;2;2;3;No;3;3;3;3;4;3;3;French;1;1;1;1;1;1;2;I have read and agree the conditions above.;3;3;3;3;2;1;3;1;2;2;2;1;1;1;3;3;3;3;3;3;3;2;2;2;2;1;2;3;3;3;3;3;1;3;3
1303367994;7/14/2017 10:43:14;2700781025;7/14/2017 10:32:32;false;neodev;1.0;19957471;NLD;5;Maastricht;77.167.113.190;61;1;3;4;1;4;3;2;3;3;4;1;5;4;2;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;2;2;4;2;2;3;2;4;4;2;5;5;2;4;2;3;4;3;3;4;3;3;3;3;3;3;3;3;3;2;3;3;3;4;2;4;4;1;5;3;2;3;4;5;1;5;4;3;Undergraduate level;3;3;4;2;5;4;3;4;2;2;5;3;3;4;Female;4;3;3;4;3;3;4;3;2;2;4;3;2;3;No;3;2;4;3;4;4;3;Netherlands;1;1;1;1;1;1;1;I have read and agree the conditions above.;3;3;2;4;3;3;4;2;2;2;4;1;1;2;4;3;2;4;1;2;3;3;2;2;4;1;2;3;2;3;2;4;3;2;3
1303616862;7/14/2017 22:19:33;2702383602;7/14/2017 22:06:28;false;clixsense;1.0;17432249;FRA;A2;Spézet;176.154.153.29;21-30;3;3;4;4;1;2;2;2;2;4;3;2;2;1;3;2;4;3;3;2;4;4;4;3;4;3;3;4;3;3;3;3;3;4;3;2;2;5;3;2;2;2;4;4;4;3;4;4;4;3;1;3;2;3;3;3;3;3;2;4;3;4;3;2;3;4;2;2;2;2;2;2;4;2;2;3;2;Master leve;4;4;4;4;3;3;2;4;4;2;4;5;4;4;Male;4;4;2;4;4;4;4;3;3;4;4;2;3;3;No;4;4;5;2;2;1;4;French;2;4;4;2;4;4;3;I have read and agree the conditions above.;4;3;2;3;4;3;4;4;4;1;4;4;2;4;2;2;3;4;4;2;2;3;3;3;3;3;2;4;4;3;3;3;3;4;3
1303616862;7/14/2017 23:20:30;2702490075;7/14/2017 23:11:12;false;tremorgames;1.0;31824046;FRA;B6;Margny-lès-compiègne;86.208.220.87;18-20;3;3;3;3;4;2;3;2;3;3;3;4;2;2;3;3;3;3;3;3;3;5;5;5;5;5;5;5;2;2;3;3;3;4;4;4;4;3;3;4;2;3;2;2;4;3;3;4;4;3;3;3;3;3;3;2;3;3;3;3;3;3;2;2;3;2;3;3;2;2;2;3;3;4;3;2;3;Undergraduate level;3;3;3;3;3;2;3;2;2;4;3;2;4;4;Male;3;3;3;3;3;3;4;3;3;2;3;3;2;2;No;4;5;4;4;4;4;4;French;3;3;3;3;2;3;3;I have read and agree the conditions above.;3;3;3;3;3;3;2;1;1;1;1;1;1;1;3;3;3;2;3;2;3;3;3;4;3;3;4;4;3;3;3;3;3;2;3
1303622073;7/14/2017 22:26:13;2702396738;7/14/2017 22:17:20;false;prodege;1.0;39744930;GBR;O4;Torquay;90.216.45.132;21-30;2;2;2;2;3;1;2;2;3;3;2;3;3;3;4;4;4;4;4;3;3;2;2;2;3;2;3;2;3;3;2;2;2;4;4;3;3;4;3;4;3;3;4;4;3;3;3;4;3;2;2;2;3;3;2;2;3;3;3;2;3;3;2;3;2;2;4;3;2;3;4;3;4;4;4;3;3;Master leve;3;2;3;3;4;2;2;3;3;2;3;3;4;4;Female;4;3;3;4;3;3;3;2;2;2;2;2;1;2;Yes;4;4;4;4;4;4;4;British;3;3;4;2;3;4;2;I have read and agree the conditions above.;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;4;4;2;2;2;2;2;2;2
1303622073;7/14/2017 22:27:13;2702398595;7/14/2017 22:17:24;false;tremorgames;1.0;31824046;FRA;B6;Margny-lès-compiègne;86.208.220.87;18-20;3;3;2;2;4;2;3;3;4;2;4;3;1;2;3;3;3;3;3;3;3;5;5;5;5;5;5;5;3;3;3;3;3;4;4;4;4;4;3;4;3;3;3;2;4;3;2;4;4;3;3;3;3;3;3;2;3;3;3;3;3;3;3;2;3;3;4;3;3;2;2;4;3;2;4;3;3;Undergraduate level;3;4;4;3;4;2;3;3;2;3;2;2;4;5;Male;3;3;4;3;3;3;3;3;3;2;2;3;2;2;No;4;4;5;3;3;3;4;French;2;2;2;2;2;2;2;I have read and agree the conditions above.;3;3;2;2;2;3;3;1;1;1;1;1;1;1;3;2;3;2;2;3;2;3;3;4;1;2;4;4;3;3;3;3;3;3;3
