_unit_id;_created_at;_id;_started_at;_tainted;_channel;_trust;_worker_id;_country;_region;_city;_ip;age;aggressive1;aggressive2;aggressive3;aggressive4;aggressive5;aggressive6;aggressive7;aggressive8;aggressive9;arrogant1;arrogant2;arrogant3;arrogant4;arrogant5;arrogant6;arrogant7;arrogant8;arrogant9;assertive1;assertive2;assertive3;assertive4;assertive5;assertive6;assertive7;assertive8;assertive9;blond1;blond2;blond3;blond4;blond5;blond6;blond7;blond8;blond9;cheerful1;cheerful2;cheerful3;cheerful4;cheerful5;cheerful6;cheerful7;cheerful8;cheerful9;compete1;compete2;compete3;compete4;compete5;compete6;compete7;compete8;compete9;cooperative1;cooperative2;cooperative3;cooperative4;cooperative5;cooperative6;cooperative7;cooperative8;cooperative9;defiant1;defiant2;defiant3;defiant4;defiant5;defiant6;defiant7;defiant8;defiant9;depend1;depend2;depend3;depend4;depend5;depend6;depend7;depend8;depend9;distant1;distant2;distant3;distant4;distant5;distant6;distant7;distant8;distant9;education;forceful1;forceful2;forceful3;forceful4;forceful5;forceful6;forceful7;forceful8;forceful9;gender;helpful1;helpful2;helpful3;helpful4;helpful5;helpful6;helpful7;helpful8;helpful9;language;leaderlike1;leaderlike2;leaderlike3;leaderlike4;leaderlike5;leaderlike6;leaderlike7;leaderlike8;leaderlike9;nationality;natural1;natural2;natural3;natural4;natural5;natural6;natural7;natural8;natural9;show_extra1;timid1;timid2;timid3;timid4;timid5;timid6;timid7;timid8;timid9;unauthoritative1;unauthoritative2;unauthoritative3;unauthoritative4;unauthoritative5;unauthoritative6;unauthoritative7;unauthoritative8;unauthoritative9;warm1;warm2;warm3;warm4;warm5;warm6;warm7;warm8;warm9;withdrawn1;withdrawn2;withdrawn3;withdrawn4;withdrawn5;withdrawn6;withdrawn7;withdrawn8;withdrawn9
1170905534;03/03/2017 10:41;2410100662;03/03/2017 10:32;false;clixsense;1.0;41032163;ESP;55;León;79.145.228.252;21-30;2;2;4;2;4;4;4;2;5;2;4;3;2;4;4;3;3;5;4;2;2;2;2;2;2;2;1;5;5;5;5;5;5;5;5;5;4;2;2;1;2;2;1;2;1;2;5;4;3;4;4;3;3;5;4;1;2;2;2;2;2;2;1;1;4;4;2;4;4;3;3;5;2;3;3;3;3;3;3;3;3;2;5;3;5;4;4;5;4;4;High school;2;4;4;2;4;4;4;3;5;Male;4;2;3;1;2;3;1;2;1;No;3;4;4;3;3;4;2;3;4;Spanish;4;4;3;2;2;4;2;1;2;I have read and agree the conditions above.;2;2;3;5;3;3;5;4;2;3;2;2;5;2;2;4;4;1;5;1;2;1;1;3;2;1;1;3;2;2;2;3;2;3;2;3
1170905534;03/03/2017 10:55;2410117660;03/03/2017 10:45;false;neodev;1.0;41960712;ESP;39;Santander;90.168.141.116;31-40;3;3;3;3;3;3;2;4;3;3;4;4;4;3;3;4;4;4;3;3;3;3;3;3;3;3;3;5;5;5;5;5;5;5;5;5;3;2;2;2;3;2;2;2;2;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;3;3;3;3;3;3;4;3;3;3;2;3;3;2;3;3;3;3;3;4;4;4;3;4;4;4;4;Master leve;3;3;3;3;3;3;3;3;3;Female;3;2;2;2;3;2;2;2;2;Yes;3;3;3;3;3;3;3;3;3;spanish;3;3;3;3;3;3;3;3;3;I have read and agree the conditions above.;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3
1170909044;03/03/2017 10:52;2410114918;03/03/2017 10:43;false;clixsense;1.0;41032163;ESP;55;León;79.145.228.252;21-30;2;4;3;2;4;4;4;4;4;2;5;3;2;4;4;4;4;4;4;2;2;2;2;2;2;3;2;5;5;5;5;5;5;5;5;5;4;1;2;2;2;2;2;2;1;3;5;2;2;5;4;3;3;3;4;1;2;1;2;2;1;2;1;2;4;3;2;5;4;4;4;4;3;3;3;3;2;3;3;3;3;2;5;4;5;3;4;5;3;4;High school;2;4;3;2;5;4;4;4;4;Male;4;2;3;2;3;2;2;3;1;No;4;4;3;2;5;4;2;4;4;Spanish;4;1;3;1;3;3;2;4;1;I have read and agree the conditions above.;2;4;4;5;2;3;5;3;4;2;2;3;5;1;2;2;2;2;4;1;2;2;2;2;1;2;1;4;2;3;1;2;2;2;2;2
1170909044;03/03/2017 10:57;2410120169;03/03/2017 10:43;false;eup_slw;1.0;36285392;ESP;56;;161.116.80.111;41-50;1;2;4;2;4;3;3;3;1;1;1;4;4;4;3;4;3;1;3;3;2;2;2;4;2;3;3;5;5;5;5;5;5;5;5;5;3;3;2;1;2;3;2;3;3;2;2;4;2;4;4;3;3;2;4;3;2;2;2;3;2;3;3;1;1;4;4;4;3;4;3;1;3;3;2;3;3;2;3;3;3;3;2;3;5;3;3;5;3;3;Master leve;2;2;3;2;4;3;3;3;2;Male;3;3;2;2;2;4;2;3;3;No;3;3;4;1;4;4;2;3;3;spanish;3;3;2;2;2;3;1;4;4;I have read and agree the conditions above.;3;2;2;3;2;2;4;3;4;3;4;2;4;1;2;3;3;4;4;3;2;1;2;3;2;3;3;3;3;3;3;3;3;3;3;3
1170915768;03/03/2017 11:22;2410151656;03/03/2017 11:13;false;clixsense;1.0;41032163;ESP;55;León;79.145.228.252;21-30;2;5;3;2;3;4;2;3;3;2;5;4;3;4;4;2;3;4;4;2;3;2;2;2;2;3;2;5;5;5;5;5;5;5;5;5;4;1;2;2;2;2;1;2;2;3;4;4;3;4;4;2;3;4;4;1;2;1;1;4;1;3;1;2;5;3;3;4;4;2;3;4;2;3;3;3;3;3;3;3;3;2;4;4;5;4;4;5;4;5;High school;3;4;4;2;4;4;2;4;4;Male;4;2;3;2;3;3;2;3;2;No;3;4;3;2;4;4;3;4;3;spanish;4;2;3;2;3;3;2;2;1;I have read and agree the conditions above.;2;3;3;5;3;4;5;3;3;3;2;2;4;2;2;4;2;3;4;1;2;2;2;2;1;2;1;3;2;2;2;2;2;2;3;2
1170915768;03/03/2017 11:41;2410174985;03/03/2017 11:13;false;neodev;1.0;19957471;NLD;11;Molenaarsgraaf;77.167.113.190;61;1;4;4;1;3;2;4;4;3;1;4;4;1;5;3;4;4;3;3;3;5;2;5;4;3;4;1;4;3;3;3;3;3;3;3;3;4;1;3;2;1;3;2;2;1;1;5;5;1;5;3;4;4;3;4;3;3;3;3;4;3;3;2;1;3;3;1;3;3;3;3;3;3;3;2;3;2;1;3;3;3;2;3;4;3;4;4;4;3;5;Other;1;5;5;1;5;3;4;4;3;Female;4;3;4;4;3;4;3;3;3;No;2;4;4;2;5;2;2;3;1;Dutch;5;4;5;5;4;5;5;5;1;I have read and agree the conditions above.;5;1;1;4;1;1;2;1;1;4;1;1;3;1;3;2;1;2;4;2;2;3;1;2;1;2;1;3;3;3;4;3;1;3;3;3
1170918060;03/03/2017 13:30;2410311105;03/03/2017 13:17;false;instagc;1.0;41031946;CAN;ON;North York;99.226.26.91;41-50;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;3;1;1;1;1;3;1;1;1;3;1;1;4;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;3;High school;1;1;1;1;1;1;1;1;1;Male;1;1;1;1;1;1;1;1;1;Yes;1;1;1;1;1;1;1;1;1;Canadian;1;1;1;1;1;1;1;1;1;I have read and agree the conditions above.;1;1;1;1;1;3;1;1;3;5;5;4;5;3;5;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1
1170918060;03/03/2017 13:38;2410319952;03/03/2017 13:17;false;neodev;1.0;19957471;NLD;11;Molenaarsgraaf;77.167.113.190;61;1;4;5;1;5;1;1;4;3;1;4;5;3;5;1;1;4;3;3;4;4;3;5;2;2;4;4;3;3;3;3;3;3;3;3;3;2;2;2;3;1;2;2;2;2;3;5;5;2;5;1;2;4;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;3;3;3;5;3;4;2;4;4;2;4;3;3;3;4;Other;3;5;5;3;5;1;1;4;3;Female;4;3;4;4;3;3;4;3;3;No;2;4;3;3;4;1;1;4;3;Dutch;5;4;5;5;5;4;5;5;4;I have read and agree the conditions above.;3;1;1;4;1;4;5;1;2;2;2;1;3;1;5;5;2;3;2;1;1;3;1;1;3;1;1;3;3;2;3;2;4;4;4;3
1170875248;03/03/2017 10:14;2410062095;03/03/2017 09:59;false;clixsense;1.0;41032163;ESP;55;León;79.145.228.252;21-30;4;4;4;4;4;4;4;3;4;2;4;4;4;4;4;3;2;4;3;3;3;3;3;3;2;3;2;5;5;5;5;5;5;5;5;5;4;2;3;2;3;2;2;3;2;2;5;4;4;4;4;3;2;4;4;2;3;2;2;2;2;2;1;1;4;4;3;4;4;3;3;3;3;2;3;3;3;3;3;3;3;2;3;3;5;3;3;5;4;5;High school;4;5;4;4;4;4;3;2;3;Male;3;3;2;2;2;2;2;3;2;No;4;5;3;4;4;3;3;2;4;Spanish;4;4;2;2;3;2;2;2;1;I have read and agree the conditions above.;2;2;2;4;2;3;4;4;4;2;1;3;2;2;2;4;4;3;3;2;2;2;1;2;2;1;1;4;3;3;3;3;3;3;3;3
1170875248;03/03/2017 17:15;2410572321;03/03/2017 17:10;false;neodev;1.0;40471828;DEU;6;Lehrte;89.182.183.76;31-40;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;Undergraduate level;3;3;3;3;3;3;3;3;3;Male;3;3;3;3;3;3;3;3;3;No;3;3;3;3;3;3;3;3;3;germany;3;3;3;3;3;3;3;3;3;I have read and agree the conditions above.;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
