_unit_id;_created_at;_id;_started_at;_tainted;_channel;_trust;_worker_id;_country;_region;_city;_ip;age;aggressive1;aggressive2;aggressive3;aggressive4;aggressive5;aggressive6;aggressive7;aggressive8;aggressive9;arrogant1;arrogant2;arrogant3;arrogant4;arrogant5;arrogant6;arrogant7;arrogant8;arrogant9;assertive1;assertive2;assertive3;assertive4;assertive5;assertive6;assertive7;assertive8;assertive9;blond1;blond2;blond3;blond4;blond5;blond6;blond7;blond8;blond9;cheerful1;cheerful2;cheerful3;cheerful4;cheerful5;cheerful6;cheerful7;cheerful8;cheerful9;compete1;compete2;compete3;compete4;compete5;compete6;compete7;compete8;compete9;cooperative1;cooperative2;cooperative3;cooperative4;cooperative5;cooperative6;cooperative7;cooperative8;cooperative9;defiant1;defiant2;defiant3;defiant4;defiant5;defiant6;defiant7;defiant8;defiant9;depend1;depend2;depend3;depend4;depend5;depend6;depend7;depend8;depend9;distant1;distant2;distant3;distant4;distant5;distant6;distant7;distant8;distant9;education;forceful1;forceful2;forceful3;forceful4;forceful5;forceful6;forceful7;forceful8;forceful9;gender;helpful1;helpful2;helpful3;helpful4;helpful5;helpful6;helpful7;helpful8;helpful9;language;leaderlike1;leaderlike2;leaderlike3;leaderlike4;leaderlike5;leaderlike6;leaderlike7;leaderlike8;leaderlike9;nationality;natural1;natural2;natural3;natural4;natural5;natural6;natural7;natural8;natural9;show_extra1;timid1;timid2;timid3;timid4;timid5;timid6;timid7;timid8;timid9;unauthoritative1;unauthoritative2;unauthoritative3;unauthoritative4;unauthoritative5;unauthoritative6;unauthoritative7;unauthoritative8;unauthoritative9;warm1;warm2;warm3;warm4;warm5;warm6;warm7;warm8;warm9;withdrawn1;withdrawn2;withdrawn3;withdrawn4;withdrawn5;withdrawn6;withdrawn7;withdrawn8;withdrawn9
1164324389;2/22/2017 11:12:29;2396668202;2/22/2017 10:53:32;false;neodev;1.0;39185264;ESP;55;Valladolid;47.62.91.140;31-40;2;3;3;4;1;5;2;2;1;3;5;3;4;2;4;3;1;1;2;2;2;2;4;2;4;4;5;5;5;5;5;5;5;5;5;5;2;2;1;1;3;1;3;3;4;4;4;5;4;2;4;2;2;2;3;3;2;3;4;3;4;4;4;4;4;5;5;3;5;4;3;2;4;4;3;4;5;4;3;2;3;5;3;4;4;4;5;4;2;1;Master leve;3;4;4;3;2;4;3;2;3;Male;4;4;4;4;4;3;3;4;4;No;2;4;4;4;4;4;3;3;3;spanish;2;4;3;4;4;4;2;5;4;I have read and agree the conditions above.;2;1;2;1;4;1;2;3;3;4;1;1;1;3;1;2;3;2;1;4;1;3;1;4;1;1;1;3;1;3;2;4;2;2;3;2
1164324389;2/22/2017 11:48:18;2396719730;2/22/2017 11:29:35;false;eup_slw;1.0;36285392;ESP;56;;161.116.80.111;41-50;2;3;2;2;1;2;3;2;2;2;3;2;1;1;2;3;2;2;3;3;3;3;2;2;3;2;3;5;5;5;5;5;5;5;5;5;3;3;3;3;1;2;2;2;2;2;3;2;2;2;2;3;2;3;3;3;3;3;3;2;2;3;3;2;2;2;2;1;2;3;2;2;3;2;3;3;3;3;2;3;2;3;2;3;3;4;4;3;4;3;Master leve;2;3;2;2;2;2;3;2;2;Male;1;1;1;3;1;2;2;2;3;No;1;3;1;3;1;1;3;2;4;spanish;3;2;3;3;3;2;3;2;4;I have read and agree the conditions above.;2;2;2;3;4;4;1;3;2;2;2;2;3;3;4;1;3;3;3;4;3;3;2;2;1;2;3;3;3;3;3;3;3;3;3;2
1164363609;2/22/2017 11:37:38;2396703609;2/22/2017 11:29:08;false;clixsense;1.0;34908976;ESP;;;62.15.60.216;21-30;1;1;5;4;3;4;2;4;3;1;1;3;4;3;4;4;4;3;4;4;1;2;2;2;2;2;3;4;4;3;2;3;2;3;2;3;3;4;2;2;2;2;2;2;3;4;3;4;2;2;4;4;2;3;4;5;1;2;2;2;2;2;3;1;1;5;4;4;4;4;4;3;2;2;1;3;3;2;2;2;3;1;1;5;4;4;4;4;4;3;Master leve;2;1;5;4;4;4;3;5;3;Female;4;4;2;2;2;2;2;2;3;No;4;4;2;2;2;2;2;2;3;Spanish;4;5;1;2;2;2;2;2;3;I have read and agree the conditions above.;1;1;1;4;2;2;2;2;3;1;2;1;2;3;2;2;2;3;4;4;1;2;2;2;2;2;3;1;1;3;3;3;4;3;3;3
1164363609;2/22/2017 12:06:08;2396746660;2/22/2017 11:58:04;false;clixsense;1.0;39782783;ESP;60;Valencia;147.156.148.3;31-40;2;2;3;5;2;2;2;2;1;3;3;4;4;2;3;1;1;1;3;4;3;2;3;2;4;2;3;4;3;2;2;4;3;4;3;4;4;3;3;2;1;3;3;3;4;2;3;2;2;4;4;3;3;4;3;2;3;1;3;3;2;1;2;3;4;4;3;3;3;2;2;2;3;3;3;2;3;2;3;3;2;2;4;3;3;2;4;3;2;2;Master leve;2;3;2;4;4;3;4;2;3;Male;4;2;4;3;2;4;2;2;4;No;4;2;4;4;2;3;4;2;4;Spanish;4;3;4;2;1;4;2;1;5;I have read and agree the conditions above.;3;4;3;3;3;3;4;4;3;2;2;4;3;2;3;3;2;2;3;3;4;3;2;4;3;2;3;2;3;2;2;3;3;3;3;3
1164380826;2/22/2017 11:27:08;2396687978;2/22/2017 11:10:26;false;neodev;1.0;35032850;FRA;;;195.101.80.181;31-40;1;3;3;4;1;4;4;4;1;1;3;2;3;1;3;3;3;1;1;4;4;4;3;4;3;3;3;5;5;5;5;5;5;5;5;5;2;3;2;3;3;3;3;3;2;3;3;4;3;3;3;4;4;2;3;3;3;3;3;3;3;3;4;1;3;3;4;1;3;3;3;1;3;3;3;3;3;3;3;3;3;3;1;3;2;1;3;1;1;2;Undergraduate level;3;3;3;3;3;3;3;4;3;Male;3;3;3;3;3;2;3;2;3;No;2;3;3;4;3;4;4;4;2;francais;4;3;3;3;3;3;3;3;3;I have read and agree the conditions above.;3;1;1;1;1;1;1;1;3;4;3;3;2;3;2;1;1;3;3;3;3;3;3;3;3;3;3;3;1;3;1;1;3;1;1;1
1164380826;2/22/2017 11:33:35;2396697469;2/22/2017 11:12:01;false;prodege;1.0;32850083;GBR;W7;Alexandria;82.40.206.135;31-40;1;4;4;3;3;3;5;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;1;3;3;1;3;4;3;3;3;5;3;4;4;3;1;3;2;1;1;3;3;1;3;2;3;3;3;3;3;3;1;1;1;2;1;1;1;3;3;2;5;4;4;4;4;3;3;3;Undergraduate level;1;4;4;3;3;2;5;3;3;Male;1;2;3;3;3;2;1;3;3;Yes;1;3;3;3;3;1;3;3;3;British;1;3;3;3;3;3;1;3;3;I have read and agree the conditions above.;1;2;2;2;2;3;1;3;3;3;5;5;4;4;4;4;3;3;1;3;2;3;1;1;1;3;3;1;2;2;3;3;2;1;3;3
1164366974;2/22/2017 11:29:20;2396691390;2/22/2017 11:04:13;false;neodev;1.0;39185264;ESP;55;Valladolid;47.62.91.140;31-40;1;4;1;1;1;1;3;1;1;2;5;2;2;2;1;3;1;2;4;2;4;4;2;3;3;4;4;5;5;5;5;5;5;5;5;5;2;1;2;4;2;3;2;4;4;2;5;2;2;1;1;4;2;1;4;3;4;4;3;4;4;4;4;3;5;3;3;1;2;4;2;3;4;4;4;4;1;2;3;2;2;4;3;4;3;5;5;3;2;4;Master leve;3;4;3;3;1;2;4;3;2;Male;4;4;4;3;2;2;3;4;3;No;3;4;3;3;1;1;4;3;3;spanish;4;4;3;4;2;2;3;3;4;I have read and agree the conditions above.;3;1;3;2;5;5;2;3;4;2;1;2;2;4;4;2;3;4;1;3;1;1;1;1;2;1;1;2;1;2;2;4;4;1;2;4
1164366974;2/22/2017 11:48:46;2396720609;2/22/2017 11:36:50;false;clixsense;1.0;37127345;FRA;A9;Montpellier;46.193.65.4;18-20;1;1;4;4;4;4;5;2;1;4;1;4;4;4;4;4;2;1;3;5;3;3;1;4;3;3;3;5;4;4;4;4;4;4;4;4;1;4;1;1;1;2;1;3;1;2;3;3;3;1;3;3;3;3;3;5;4;2;2;4;2;4;2;3;1;4;4;3;4;4;3;2;3;1;3;3;3;3;3;3;3;4;1;4;4;4;4;3;4;4;Undergraduate level;4;4;4;4;4;4;4;4;4;Female;4;4;4;4;2;3;3;4;4;No;2;4;4;4;1;4;1;2;4;French;4;5;4;4;2;4;4;3;4;I have read and agree the conditions above.;2;1;2;1;2;2;2;2;2;2;3;1;2;2;2;2;4;2;1;3;2;2;2;3;1;3;2;3;1;4;3;3;4;3;4;3
1164394140;2/22/2017 11:35:36;2396700689;2/22/2017 11:25:45;false;tremorgames;1.0;22204662;FRA;B6;Amiens;92.155.70.182;21-30;1;4;5;4;3;1;5;1;3;3;3;4;4;3;3;5;3;3;3;4;3;3;4;3;3;3;3;5;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;4;4;3;4;1;5;1;4;1;1;1;1;1;1;1;1;1;3;4;4;4;4;3;5;3;4;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;5;3;4;Undergraduate level;1;4;3;3;3;1;5;1;3;Female;2;1;1;1;1;2;1;2;1;No;1;2;3;1;3;1;4;1;3;french;1;1;1;1;1;1;1;1;1;I have read and agree the conditions above.;1;1;1;1;1;1;1;1;1;3;1;1;1;1;3;1;3;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;3;1;4;3
1164394140;2/22/2017 12:02:33;2396741806;2/22/2017 11:52:13;false;eup_slw;1.0;36285392;ESP;56;;161.116.80.111;41-50;1;3;3;4;2;3;4;1;2;1;3;3;4;2;3;4;1;2;3;3;2;2;4;2;3;2;4;5;5;5;5;5;5;5;5;5;3;3;2;2;3;2;2;2;4;3;3;3;4;3;2;4;2;4;3;3;3;2;4;3;2;2;4;1;3;3;4;2;3;4;2;2;2;3;2;2;2;3;2;3;2;2;3;3;2;3;3;3;4;2;Master leve;1;3;3;4;2;2;4;1;2;Male;3;2;2;2;3;2;2;2;4;No;4;3;3;2;3;2;3;2;4;spanish;3;3;2;2;4;2;2;3;4;I have read and agree the conditions above.;2;3;3;2;4;3;2;4;2;2;3;3;1;3;3;2;3;2;4;3;2;2;3;3;2;2;4;3;3;3;3;3;3;3;3;3
